conteo,tupla,X,L,M,T,P,Pr
5,6|15,62,141,141|6|46|66|89|26,141|6|46|66|89|26,0.0013333333333333333,0.44487777777777776
4,6|16,74,236,236|4|50|6|78,236|4|50|6|78,0.0010666666666666667,0.4447888888888889
5,6|17,62,172,172|75|48|2|60|17,172|75|48|2|60|17,0.0013333333333333333,0.44487777777777776
3,6|18,93,10,10|171|157|36,10|171|157|36,0.0008,0.44469999999999993
3,6|19,93,125,125|134|113|2,125|134|113|2,0.0008,0.44469999999999993
3,6|20,93,216,216|24|41|93,216|24|41|93,0.0008,0.44469999999999993
2,6|21,124,28,28|208|138,28|208|138,0.0005333333333333334,0.44461111111111107
3,6|22,93,65,65|110|5|194,65|110|5|194,0.0008,0.44469999999999993
5,6|23,62,125,125|81|58|32|1|77,125|81|58|32|1|77,0.0013333333333333333,0.44487777777777776
2,6|24,124,172,172|68|134,172|68|134,0.0005333333333333334,0.44461111111111107
6,6|25,53,83,83|42|55|26|75|91|2,83|42|55|26|75|91|2,0.0016,0.4449666666666667
4,6|26,74,147,147|46|73|74|34,147|46|73|74|34,0.0010666666666666667,0.4447888888888889
6,6|27,53,135,135|33|17|74|22|16|77,135|33|17|74|22|16|77,0.0016,0.4449666666666667
5,6|28,62,28,28|18|85|49|192|2,28|18|85|49|192|2,0.0013333333333333333,0.44487777777777776
5,6|29,62,83,83|48|3|170|53|17,83|48|3|170|53|17,0.0013333333333333333,0.44487777777777776
1,6|30,187,240,240|134,240|134,0.0002666666666666667,0.4445222222222222
5,6|31,62,193,193|54|17|2|38|70,193|54|17|2|38|70,0.0013333333333333333,0.44487777777777776
5,6|32,62,46,46|89|112|50|44|33,46|89|112|50|44|33,0.0013333333333333333,0.44487777777777776
3,6|33,93,175,175|41|20|138,175|41|20|138,0.0008,0.44469999999999993
5,6|34,62,10,10|124|34|96|77|33,10|124|34|96|77|33,0.0013333333333333333,0.44487777777777776
3,6|35,93,28,28|119|143|84,28|119|143|84,0.0008,0.44469999999999993
4,6|36,74,175,175|41|122|34|2,175|41|122|34|2,0.0010666666666666667,0.4447888888888889
3,6|37,93,177,177|171|23|3,177|171|23|3,0.0008,0.44469999999999993
2,6|38,124,141,141|65|168,141|65|168,0.0005333333333333334,0.44461111111111107
