conteo,tupla,X,L,M,T,P,Pr
1,11|15|39,187,161,161|213,161|213,0.0002666666666666667,0.4445222222222222
1,11|15|40,187,254,254|120,254|120,0.0002666666666666667,0.4445222222222222
1,11|16|18,187,264,264|110,264|110,0.0002666666666666667,0.4445222222222222
1,11|16|19,187,213,213|161,213|161,0.0002666666666666667,0.4445222222222222
1,11|16|33,187,213,213|161,213|161,0.0002666666666666667,0.4445222222222222
1,11|16|34,187,264,264|110,264|110,0.0002666666666666667,0.4445222222222222
1,11|16|36,187,264,264|110,264|110,0.0002666666666666667,0.4445222222222222
1,11|17|18,187,179,179|195,179|195,0.0002666666666666667,0.4445222222222222
1,11|17|22,187,74,74|300,74|300,0.0002666666666666667,0.4445222222222222
1,11|17|25,187,299,299|75,299|75,0.0002666666666666667,0.4445222222222222
1,11|17|27,187,235,235|139,235|139,0.0002666666666666667,0.4445222222222222
1,11|17|38,187,299,299|75,299|75,0.0002666666666666667,0.4445222222222222
1,11|17|41,187,235,235|139,235|139,0.0002666666666666667,0.4445222222222222
1,11|17|43,187,179,179|195,179|195,0.0002666666666666667,0.4445222222222222
1,11|18|21,187,186,186|188,186|188,0.0002666666666666667,0.4445222222222222
1,11|18|30,187,109,109|265,109|265,0.0002666666666666667,0.4445222222222222
1,11|18|34,187,264,264|110,264|110,0.0002666666666666667,0.4445222222222222
2,11|18|36,124,264,264|67|43,264|67|43,0.0005333333333333334,0.44461111111111107
1,11|18|37,187,186,186|188,186|188,0.0002666666666666667,0.4445222222222222
1,11|18|40,187,109,109|265,109|265,0.0002666666666666667,0.4445222222222222
1,11|18|41,187,331,331|43,331|43,0.0002666666666666667,0.4445222222222222
1,11|18|42,187,109,109|265,109|265,0.0002666666666666667,0.4445222222222222
1,11|18|43,187,179,179|195,179|195,0.0002666666666666667,0.4445222222222222
2,11|19|20,124,110,110|241|23,110|241|23,0.0005333333333333334,0.44461111111111107
1,11|19|21,187,284,284|90,284|90,0.0002666666666666667,0.4445222222222222
1,11|19|23,187,284,284|90,284|90,0.0002666666666666667,0.4445222222222222
1,11|19|24,187,68,68|306,68|306,0.0002666666666666667,0.4445222222222222
1,11|19|27,187,110,110|264,110|264,0.0002666666666666667,0.4445222222222222
1,11|19|28,187,110,110|264,110|264,0.0002666666666666667,0.4445222222222222
1,11|19|32,187,322,322|52,322|52,0.0002666666666666667,0.4445222222222222
2,11|19|33,124,213,213|109|52,213|109|52,0.0005333333333333334,0.44461111111111107
1,11|19|34,187,68,68|306,68|306,0.0002666666666666667,0.4445222222222222
1,11|19|37,187,351,351|23,351|23,0.0002666666666666667,0.4445222222222222
1,11|19|39,187,68,68|306,68|306,0.0002666666666666667,0.4445222222222222
1,11|20|22,187,4,4|370,4|370,0.0002666666666666667,0.4445222222222222
1,11|20|27,187,110,110|264,110|264,0.0002666666666666667,0.4445222222222222
1,11|20|28,187,110,110|264,110|264,0.0002666666666666667,0.4445222222222222
1,11|20|33,187,4,4|370,4|370,0.0002666666666666667,0.4445222222222222
1,11|20|37,187,351,351|23,351|23,0.0002666666666666667,0.4445222222222222
1,11|21|23,187,284,284|90,284|90,0.0002666666666666667,0.4445222222222222
1,11|21|36,187,19,19|355,19|355,0.0002666666666666667,0.4445222222222222
2,11|21|37,124,186,186|109|79,186|109|79,0.0005333333333333334,0.44461111111111107
1,11|21|38,187,295,295|79,295|79,0.0002666666666666667,0.4445222222222222
