conteo,tupla,X,L,M,R,T,P,Pr,PrX,PrL,PrM
1,6|10|31|34,197,284,87,284|110,284|110,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|11|12|17,197,315,118,315|79,315|79,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|11|12|40,197,315,118,315|79,315|79,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|11|17|40,197,315,118,315|79,315|79,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|12|14|15,197,161,36,161|233,161|233,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|12|14|38,197,161,36,161|233,161|233,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|12|15|26,197,167,30,167|227,167|227,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|12|15|35,197,167,30,167|227,167|227,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|12|15|38,197,161,36,161|233,161|233,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|12|16|21,197,256,59,256|138,256|138,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|12|16|33,197,256,59,256|138,256|138,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|12|17|40,197,315,118,315|79,315|79,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|12|18|36,197,358,161,358|36,358|36,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|12|18|39,197,201,4,201|193,201|193,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|12|21|33,197,256,59,256|138,256|138,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|12|26|35,197,167,30,167|227,167|227,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|13|14|37,197,197,0,197,197|197,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|13|15|26,197,213,16,213|181,213|181,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|13|15|31,197,213,16,213|181,213|181,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|13|17|33,197,9,188,9|385,9|385,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|13|17|38,197,9,188,9|385,9|385,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|13|26|31,197,213,16,213|181,213|181,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|13|28|29,197,151,46,151|243,151|243,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|13|29|31,197,324,127,324|70,324|70,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|13|33|38,197,9,188,9|385,9|385,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|14|15|38,197,161,36,161|233,161|233,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|14|16|35,197,310,113,310|84,310|84,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|14|17|29,197,377,180,377|17,377|17,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|14|21|28,197,48,149,48|346,48|346,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|14|21|35,197,48,149,48|346,48|346,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|14|22|39,197,85,112,85|309,85|309,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|14|25|29,197,103,94,103|291,103|291,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|14|25|42,197,103,94,103|291,103|291,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|14|26|31,197,286,89,286|108,286|108,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|14|28|35,197,48,149,48|346,48|346,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|14|29|42,197,103,94,103|291,103|291,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|14|32|34,197,361,164,361|33,361|33,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|14|32|42,197,361,164,361|33,361|33,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|14|34|42,197,361,164,361|33,361|33,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|15|19|27,197,279,82,279|115,279|115,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|15|19|42,197,279,82,279|115,279|115,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|15|26|31,197,213,16,213|181,213|181,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|15|26|35,197,167,30,167|227,167|227,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|15|27|42,197,279,82,279|115,279|115,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|15|32|33,197,1,196,1|393,1|393,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|15|37|42,197,368,171,368|26,368|26,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|16|20|24,197,260,63,260|134,260|134,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|16|20|30,197,260,63,260|134,260|134,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|16|21|33,197,256,59,256|138,256|138,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|16|23|43,197,316,119,316|78,316|78,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|16|24|30,197,260,63,260|134,260|134,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|17|22|30,197,2,195,2|392,2|392,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
1,6|17|22|42,197,2,195,2|392,2|392,0.0005063291139240507,0.6668354430379747,1.0,1.0,0.0005063291139240507
