conteo,tupla,X,L,M,T
5,4|15,70.4,60,60|10|230|8|44,60|10|230|8|44
6,4|16,50.285714285714285,25,25|63|11|41|45|39|128,25|63|11|41|45|39|128
7,4|17,58.666666666666664,108,108|73|79|35|40|17,108|73|79|35|40|17
3,4|18,88.0,39,39|118|77|118,39|118|77|118
2,4|19,117.33333333333333,92,92|49|211,92|49|211
5,4|20,58.666666666666664,48,48|44|35|9|198|18,48|44|35|9|198|18
3,4|21,88.0,139,139|95|36|82,139|95|36|82
6,4|22,58.666666666666664,18,18,18|113|18|60|99|44
4,4|23,88.0,269,269|39|6|38,269|39|6|38
5,4|24,70.4,70,70|7|223|15|37,70|7|223|15|37
4,4|25,70.4,18,18|21|97|44|172,18|21|97|44|172
3,4|26,88.0,18,18|122|69|143,18|122|69|143
3,4|27,88.0,141,141|119|9|83,141|119|9|83
2,4|28,117.33333333333333,260,260|55|37,260|55|37
7,4|29,44.0,39,39|10|19|2|139|60|66|17,39|10|19|2|139|60|66|17
2,4|30,117.33333333333333,139,139|46|167,139|46|167
3,4|31,88.0,53,53|92|35|172,53|92|35|172
4,4|32,70.4,68,68|59|16|191|18,68|59|16|191|18
6,4|33,50.285714285714285,60,60|8|59|53|44|90|38,60|8|59|53|44|90|38
4,4|34,70.4,53,53|90|2|124|83,53|90|2|124|83
5,4|35,58.666666666666664,48,48|44|3|13|49|195,48|44|3|13|49|195
6,4|36,50.285714285714285,52,52|47|82|28|44|62|37,52|47|82|28|44|62|37
4,4|37,70.4,131,131|5|45|114|57,131|5|45|114|57
1,4|38,176.0,308,308|44,308|44
2,4|39,117.33333333333333,77,77|238|37,77|238|37
5,4|40,58.666666666666664,95,95|48|6|36|136|31,95|48|6|36|136|31
4,4|41,70.4,25,25|52|72|104|99,25|52|72|104|99
4,4|42,70.4,60,60|174|26|10|82,60|174|26|10|82
4,4|43,70.4,48,48|91|6|36|171,48|91|6|36|171
12,5|6,44.0,24,24|139|81|20|4|50|31|3,24|139|81|20|4|50|31|3
5,5|7,70.4,24,24|203|62|60|3,24|203|62|60|3
5,5|8,88.0,55,55|3|105|189,55|3|105|189
6,5|9,50.285714285714285,206,13,206|13|45|13|12|32|31
1,5|10,176.0,58,58|294,58|294
1,5|11,176.0,219,219|133,219|133
4,5|12,88.0,22,22|33|294|3,22|33|294|3
11,5|13,39.111111111111114,25,25|33|35|93|11|81|40|3|31,25|33|35|93|11|81|40|3|31
6,5|14,58.666666666666664,32,32|61|104|47|24|84,32|61|104|47|24|84
4,5|16,88.0,25,25|129|114|84,25|129|114|84
1,5|17,176.0,55,55|297,55|297
3,5|18,117.33333333333333,4,4|197|151,4|197|151
1,5|19,176.0,201,201|151,201|151
4,5|20,88.0,58,58|115|54|125,58|115|54|125
1,5|22,176.0,186,186|166,186|166
4,5|23,117.33333333333333,54,54|136|162,54|136|162
3,5|24,117.33333333333333,47,47|143|162,47|143|162
2,5|25,117.33333333333333,22,22|179|151,22|179|151
6,5|26,50.285714285714285,22,22|32|39|61|90|74|34,22|32|39|61|90|74|34
3,5|27,88.0,47,47|116|10|179,47|116|10|179
3,5|28,88.0,24,24|8|257|63,24|8|257|63
5,5|29,70.4,31,31|18|141|87|75,31|18|141|87|75
2,5|30,117.33333333333333,164,164|9|179,164|9|179
3,5|31,88.0,32,32|61|151|108,32|61|151|108
4,5|32,70.4,24,24|23|7|100|198,24|23|7|100|198
3,5|33,117.33333333333333,31,31|186|135,31|186|135
5,5|34,58.666666666666664,31,31|155|20|11|10|125,31|155|20|11|10|125
3,5|35,88.0,47,47|150|71|84,47|150|71|84
1,5|36,176.0,154,154|198,154|198
3,5|37,88.0,164,164|63|122|3,164|63|122|3
3,5|38,88.0,4,4|50|119|179,4|50|119|179
4,5|39,70.4,31,31|1|132|100|88,31|1|132|100|88
1,5|40,176.0,321,321|31,321|31
4,5|41,70.4,4,4|21|176|16|135,4|21|176|16|135
5,5|42,58.666666666666664,197,13,197|9|13|45|13|75
5,5|43,58.666666666666664,22,22|33|131|4|27|135,22|33|131|4|27|135
5,6|7,70.4,24,24|122|57|146|3,24|122|57|146|3
8,6|8,58.666666666666664,109,109|37|9|8|119|70,109|37|9|8|119|70
3,6|9,117.33333333333333,264,264|62|26,264|62|26
6,6|10,88.0,43,43|116|83|110,43|116|83|110
2,6|11,176.0,273,273|79,273|79
10,6|12,44.0,119,119|6|34|55|59|43|33|3,119|6|34|55|59|43|33|3
7,6|13,50.285714285714285,109,109|46|16|32|79|36|34,109|46|16|32|79|36|34
12,6|14,35.2,6,6|37|18|58|36|89|24|51|16|17,6|37|18|58|36|89|24|51|16|17
6,6|15,58.666666666666664,119,119|6|46|66|89|26,119|6|46|66|89|26
5,6|16,70.4,214,214|4|50|6|78,214|4|50|6|78
8,6|17,58.666666666666664,150,150|75|48|2|60|17,150|75|48|2|60|17
2,6|18,117.33333333333333,159,159|157|36,159|157|36
5,6|19,88.0,103,103|134|113|2,103|134|113|2
5,6|20,88.0,194,194|24|41|93,194|24|41|93
2,6|21,117.33333333333333,6,6|208|138,6|208|138
5,6|22,88.0,43,43|110|5|194,43|110|5|194
5,6|23,58.666666666666664,103,103|81|58|32|1|77,103|81|58|32|1|77
2,6|24,117.33333333333333,150,150|68|134,150|68|134
6,6|25,50.285714285714285,61,61|42|55|26|75|91|2,61|42|55|26|75|91|2
4,6|26,70.4,125,125|46|73|74|34,125|46|73|74|34
7,6|27,50.285714285714285,113,113|33|17|74|22|16|77,113|33|17|74|22|16|77
5,6|28,58.666666666666664,6,6|18|85|49|192|2,6|18|85|49|192|2
6,6|29,58.666666666666664,61,61|48|3|170|53|17,61|48|3|170|53|17
1,6|30,176.0,218,218|134,218|134
5,6|31,58.666666666666664,171,171|54|17|2|38|70,171|54|17|2|38|70
5,6|32,58.666666666666664,24,24|89|112|50|44|33,24|89|112|50|44|33
3,6|33,88.0,153,153|41|20|138,153|41|20|138
4,6|34,70.4,112,112|34|96|77|33,112|34|96|77|33
3,6|35,88.0,6,6|119|143|84,6|119|143|84
4,6|36,70.4,153,153|41|122|34|2,153|41|122|34|2
