conteo,tupla,X,L,M,T
1,13|16|34|37,176.0,241,241|111,241|111
1,13|18|19|33,176.0,116,116|236,116|236
1,13|18|26|43,176.0,317,317|35,317|35
1,13|20|26|29,176.0,338,338|14,338|14
1,13|20|26|40,176.0,338,338|14,338|14
1,13|20|28|35,176.0,298,298|54,298|54
1,13|20|28|40,176.0,298,298|54,298|54
1,13|20|29|40,176.0,338,338|14,338|14
1,13|20|35|40,176.0,298,298|54,298|54
1,13|22|26|42,176.0,26,26|326,26|326
1,13|22|27|40,176.0,1,1|351,1|351
1,13|22|27|41,176.0,1,1|351,1|351
1,13|22|34|43,176.0,186,186|166,186|166
1,13|22|40|41,176.0,1,1|351,1|351
1,13|23|35|39,176.0,240,240|112,240|112
1,13|24|27|39,176.0,17,17|335,17|335
1,13|24|33|40,176.0,252,252|100,252|100
1,13|24|39|41,176.0,77,77|275,77|275
1,13|25|30|36,176.0,34,34|318,34|318
1,13|25|30|41,176.0,34,34|318,34|318
1,13|25|31|33,176.0,180,180|172,180|172
1,13|25|31|42,176.0,341,341|11,341|11
1,13|25|36|41,176.0,34,34|318,34|318
1,13|25|36|43,176.0,221,221|131,221|131
1,13|26|29|40,176.0,338,338|14,338|14
1,13|27|40|41,176.0,1,1|351,1|351
1,13|28|34|37,176.0,241,241|111,241|111
1,13|28|35|40,176.0,298,298|54,298|54
1,13|29|30|40,176.0,16,16|336,16|336
1,13|29|30|42,176.0,16,16|336,16|336
1,13|29|40|42,176.0,16,16|336,16|336
1,13|30|36|41,176.0,34,34|318,34|318
1,13|30|40|42,176.0,16,16|336,16|336
1,13|31|33|41,176.0,177,177|175,177|175
1,13|32|37|43,176.0,142,142|210,142|210
1,14|15|18|25,176.0,183,183|169,183|169
1,14|15|20|25,176.0,327,327|25,327|25
1,14|15|20|40,176.0,327,327|25,327|25
1,14|15|25|40,176.0,327,327|25,327|25
1,14|16|17|31,176.0,83,83|269,83|269
1,14|16|18|36,176.0,35,35|317,35|317
1,14|17|23|37,176.0,74,74|278,74|278
1,14|18|20|33,176.0,257,257|95,257|95
1,14|18|22|43,176.0,57,57|295,57|295
1,14|19|39|41,176.0,174,174|178,174|178
1,14|20|21|41,176.0,202,202|150,202|150
1,14|20|22|42,176.0,283,283|69,283|69
1,14|20|24|25,176.0,182,182|170,182|170
1,14|20|24|39,176.0,182,182|170,182|170
1,14|20|25|39,176.0,182,182|170,182|170
1,14|20|25|40,176.0,327,327|25,327|25
1,14|20|30|34,176.0,104,104|248,104|248
1,14|21|27|28,176.0,288,288|64,288|64
1,14|21|28|35,176.0,6,6|346,6|346
1,14|24|25|39,176.0,182,182|170,182|170
1,14|25|26|37,176.0,175,175|177,175|177
1,14|25|28|37,176.0,322,322|30,322|30
1,14|25|28|41,176.0,322,322|30,322|30
1,14|25|29|42,176.0,61,61|291,61|291
1,14|25|37|41,176.0,322,322|30,322|30
1,14|27|34|37,176.0,247,247|105,247|105
1,14|27|34|43,176.0,247,247|105,247|105
1,14|27|35|41,176.0,128,128|224,128|224
1,14|27|37|43,176.0,247,247|105,247|105
1,14|28|31|39,176.0,32,32|320,32|320
1,14|28|33|43,176.0,192,192|160,192|160
1,14|28|37|41,176.0,322,322|30,322|30
1,14|29|30|42,176.0,176,176|176,176|176
1,14|30|35|37,176.0,280,280|72,280|72
1,14|30|35|40,176.0,280,280|72,280|72
1,14|30|37|40,176.0,280,280|72,280|72
1,14|32|34|42,176.0,319,319|33,319|33
1,14|34|37|43,176.0,247,247|105,247|105
1,14|35|37|40,176.0,280,280|72,280|72
1,15|16|18|19,176.0,320,320|32,320|32
1,15|16|18|37,176.0,320,320|32,320|32
1,15|16|19|37,176.0,320,320|32,320|32
1,15|16|24|26,176.0,126,126|226,126|226
1,15|16|24|32,176.0,126,126|226,126|226
1,15|16|26|32,176.0,126,126|226,126|226
1,15|16|29|39,176.0,79,79|273,79|273
1,15|16|38|39,176.0,78,78|274,78|274
1,15|18|19|37,176.0,320,320|32,320|32
1,15|18|24|34,176.0,147,147|205,147|205
1,15|18|24|39,176.0,147,147|205,147|205
1,15|18|26|43,176.0,317,317|35,317|35
1,15|18|34|39,176.0,147,147|205,147|205
1,15|19|21|42,176.0,187,187|165,187|165
1,15|19|27|30,176.0,254,254|98,254|98
1,15|19|27|42,176.0,237,237|115,237|115
1,15|20|23|25,176.0,151,151|201,151|201
1,15|20|25|29,176.0,296,296|56,296|56
1,15|20|25|40,176.0,327,327|25,327|25
1,15|20|25|43,176.0,296,296|56,296|56
1,15|20|29|43,176.0,296,296|56,296|56
1,15|20|32|41,176.0,59,59|293,59|293
1,15|21|25|26,176.0,290,290|62,290|62
1,15|21|25|31,176.0,290,290|62,290|62
1,15|21|26|28,176.0,345,345|7,345|7
1,15|21|26|31,176.0,290,290|62,290|62
1,15|21|26|36,176.0,345,345|7,345|7
1,15|21|28|36,176.0,345,345|7,345|7
1,15|22|23|38,176.0,308,308|44,308|44
1,15|23|24|25,176.0,286,286|66,286|66
1,15|24|26|32,176.0,126,126|226,126|226
1,15|24|33|40,176.0,252,252|100,252|100
1,15|24|34|39,176.0,147,147|205,147|205
1,15|25|26|31,176.0,290,290|62,290|62
1,15|25|29|43,176.0,296,296|56,296|56
1,15|26|28|36,176.0,345,345|7,345|7
1,15|27|28|41,176.0,179,179|173,179|173
1,15|27|28|42,176.0,179,179|173,179|173
1,15|27|41|42,176.0,179,179|173,179|173
1,15|28|31|32,176.0,262,262|90,262|90
1,15|28|31|35,176.0,262,262|90,262|90
1,15|28|32|35,176.0,262,262|90,262|90
1,15|28|36|37,176.0,352,352|0,352|0
1,15|28|36|41,176.0,352,352|0,352|0
1,15|28|37|41,176.0,352,352|0,352|0
1,15|28|38|42,176.0,170,170|182,170|182
1,15|28|41|42,176.0,179,179|173,179|173
1,15|31|32|35,176.0,262,262|90,262|90
1,15|36|37|41,176.0,352,352|0,352|0
1,16|17|21|22,176.0,166,166|186,166|186
1,16|17|21|43,176.0,166,166|186,166|186
1,16|17|22|43,176.0,166,166|186,166|186
1,16|18|19|21,176.0,167,167|185,167|185
1,16|18|19|37,176.0,320,320|32,320|32
1,16|18|19|38,176.0,167,167|185,167|185
1,16|18|21|38,176.0,167,167|185,167|185
1,16|18|26|37,176.0,42,42|310,42|310
1,16|18|26|42,176.0,42,42|310,42|310
1,16|18|30|34,176.0,228,228|124,228|124
1,16|18|35|40,176.0,332,332|20,332|20
1,16|18|37|40,176.0,263,263|89,263|89
1,16|18|37|42,176.0,42,42|310,42|310
1,16|19|20|23,176.0,236,236|116,236|116
1,16|19|20|37,176.0,87,87|265,87|265
1,16|19|21|38,176.0,167,167|185,167|185
1,16|19|23|34,176.0,309,309|43,309|43
1,16|19|35|41,176.0,313,313|39,313|39
1,16|20|24|30,176.0,218,218|134,218|134
1,16|20|28|37,176.0,135,135|217,135|217
1,16|20|29|33,176.0,229,229|123,229|123
1,16|20|29|40,176.0,229,229|123,229|123
1,16|20|33|40,176.0,229,229|123,229|123
1,16|21|22|43,176.0,166,166|186,166|186
1,16|24|26|32,176.0,126,126|226,126|226
1,16|25|36|37,176.0,200,200|152,200|152
1,16|26|32|36,176.0,154,154|198,154|198
1,16|26|37|42,176.0,42,42|310,42|310
1,16|28|34|37,176.0,241,241|111,241|111
1,16|28|37|42,176.0,67,67|285,67|285
1,16|28|37|43,176.0,67,67|285,67|285
1,16|28|42|43,176.0,67,67|285,67|285
1,16|29|33|40,176.0,229,229|123,229|123
1,16|37|42|43,176.0,67,67|285,67|285
1,17|18|20|27,176.0,82,82|270,82|270
1,17|18|20|29,176.0,82,82|270,82|270
1,17|18|27|29,176.0,82,82|270,82|270
1,17|18|30|33,176.0,258,258|94,258|94
1,17|18|33|41,176.0,106,106|246,106|246
1,17|18|33|42,176.0,106,106|246,106|246
1,17|18|41|42,176.0,106,106|246,106|246
1,17|20|27|29,176.0,82,82|270,82|270
1,17|21|22|43,176.0,166,166|186,166|186
1,17|21|25|40,176.0,193,193|159,193|159
1,17|21|32|36,176.0,63,63|289,63|289
1,17|21|32|37,176.0,63,63|289,63|289
1,17|21|36|37,176.0,63,63|289,63|289
1,17|23|25|29,176.0,284,284|68,284|68
