conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
10,9|31,40,33,7,33|32|55|4|14|16|76|1|9|67|135,33|32|55|4|14|16|76|1|9|67|135,0.002257336343115124,0.6674191121143718,1.0,1.0,0.002257336343115124
1,28|42,221,228,7,228|214,228|214,0.0002257336343115124,0.6667419112114371,1.0,1.0,0.0002257336343115124
5,2|33,73,80,7,80|89|16|90|54|113,80|89|16|90|54|113,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
3,19|23,110,103,7,103|207|42|90,103|207|42|90,0.0006772009029345372,0.6668924003009781,1.0,1.0,0.0006772009029345372
7,26|36,55,47,8,47|21|87|62|96|36|69|24,47|21|87|62|96|36|69|24,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
5,3|6,73,65,8,65|85|151|46|35|60,65|85|151|46|35|60,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
6,7|33,63,55,8,55|130|86|17|16|67|71,55|130|86|17|16|67|71,0.0013544018058690745,0.6671181339352897,1.0,1.0,0.0013544018058690745
4,3|33,88,80,8,80|41|118|43|160,80|41|118|43|160,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
5,6|32,73,65,8,65|109|68|35|89|76,65|109|68|35|89|76,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
8,10|37,49,41,8,41,41|23|27|41|36|80|9|85|100,0.0018058690744920992,0.6672686230248307,1.0,1.0,0.0018058690744920992
5,23|24,73,81,8,81|36|1|278|2|44,81|36|1|278|2|44,0.001128668171557562,0.6670428893905193,1.0,1.0,0.001128668171557562
7,36|38,55,47,8,47|48|11|149|109|12|20|46,47|48|11|149|109|12|20|46,0.001580135440180587,0.6671933784800602,1.0,1.0,0.001580135440180587
4,10|39,88,96,8,96|62|26|150|108,96|62|26|150|108,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
4,33|39,88,96,8,96|11|46|121|168,96|11|46|121|168,0.0009029345372460496,0.6669676448457488,1.0,1.0,0.0009029345372460496
9,16|22,44,35,9,35,35|67|35|7|77|81|58|40|7|35,0.0020316027088036117,0.6673438675696012,1.0,1.0,0.0020316027088036117
