conteo,tupla
1,5|27|36|39
1,5|28|29|38
1,5|29|33|34
1,5|29|41|43
1,5|30|35|37
1,5|31|32|33
1,5|31|39|40
1,5|32|34|43
1,5|34|35|43
1,5|34|36|39
1,6|7|15|38
1,6|7|15|40
1,6|7|16|38
1,6|7|16|39
1,6|7|21|34
1,6|7|23|36
1,6|7|23|43
1,6|7|26|27
1,6|7|26|41
1,6|7|27|41
1,6|7|28|40
1,6|7|36|43
1,6|7|38|39
1,6|7|38|40
1,6|8|9|16
1,6|8|12|17
1,6|8|12|29
1,6|8|12|31
1,6|8|17|31
1,6|8|21|23
1,6|8|24|37
1,6|9|10|13
1,6|9|10|22
1,6|9|13|22
1,6|9|16|17
1,6|9|16|22
1,6|9|16|26
1,6|9|16|27
1,6|9|17|26
1,6|9|19|37
1,6|9|19|39
1,6|9|22|27
1,6|9|24|30
1,6|9|29|32
1,6|9|29|33
1,6|9|31|32
1,6|9|32|33
1,6|9|37|39
1,6|10|13|22
1,6|10|14|21
1,6|10|14|26
1,6|10|15|24
1,6|10|18|27
1,6|10|18|35
1,6|10|21|26
1,6|10|25|26
1,6|10|25|27
1,6|10|26|27
1,6|10|27|35
1,6|11|13|40
1,6|11|13|43
1,6|11|20|22
1,6|11|20|33
1,6|11|22|33
1,6|11|28|34
1,6|11|28|39
1,6|11|34|39
1,6|11|40|43
1,6|12|17|31
1,6|12|40|42
1,6|13|14|30
1,6|13|14|34
1,6|13|30|34
1,6|13|40|43
1,6|14|15|28
1,6|14|15|30
1,6|14|15|39
1,6|14|20|27
1,6|14|21|26
1,6|14|28|30
1,6|14|30|34
1,6|15|27|30
1,6|15|28|30
1,6|15|38|40
1,6|16|17|26
1,6|16|18|22
1,6|16|22|27
1,6|16|38|39
1,6|17|26|35
1,6|17|30|38
1,6|17|30|39
1,6|17|38|39
1,6|18|22|29
1,6|18|22|40
1,6|18|27|35
1,6|18|29|40
1,6|18|32|42
1,6|19|30|34
1,6|19|30|35
1,6|19|31|33
1,6|19|31|39
1,6|19|33|39
1,6|19|34|35
1,6|19|37|39
1,6|20|22|30
1,6|20|22|33
1,6|20|22|34
1,6|20|27|35
1,6|20|29|38
1,6|20|30|34
1,6|21|23|31
1,6|21|23|32
1,6|21|31|32
1,6|21|34|40
1,6|22|28|34
1,6|22|29|40
1,6|22|30|34
1,6|23|31|32
1,6|23|36|43
1,6|24|27|32
1,6|24|27|39
1,6|24|32|39
1,6|25|26|27
1,6|26|27|41
1,6|27|28|36
1,6|27|28|40
1,6|27|32|39
1,6|27|36|40
1,6|28|34|38
1,6|28|34|39
1,6|28|36|40
1,6|29|32|33
1,6|30|34|35
1,6|30|38|39
1,6|31|33|39
1,7|8|10|42
1,7|8|10|43
1,7|8|13|27
1,7|8|13|41
1,7|8|14|28
1,7|8|17|32
1,7|8|17|37
1,7|8|24|41
1,7|8|27|38
1,7|8|27|39
1,7|8|27|41
1,7|8|32|37
1,7|8|38|39
1,7|8|42|43
1,7|9|10|22
1,7|9|10|39
1,7|9|11|13
1,7|9|11|38
1,7|9|13|38
1,7|9|17|39
1,7|9|22|39
1,7|10|13|21
1,7|10|17|37
1,7|10|17|43
1,7|10|18|40
1,7|10|22|39
1,7|10|37|43
1,7|10|42|43
1,7|11|13|38
1,7|11|14|30
1,7|11|14|42
1,7|11|17|18
1,7|11|17|43
1,7|11|18|43
1,7|11|30|42
1,7|11|39|43
1,7|12|20|23
1,7|12|20|32
1,7|12|23|32
1,7|12|27|35
1,7|12|27|41
1,7|12|35|41
1,7|13|27|29
2,7|13|27|41
1,7|13|28|34
1,7|13|28|40
1,7|13|29|41
1,7|13|34|40
1,7|14|19|37
1,7|14|19|40
1,7|14|30|42
1,7|14|37|40
1,7|15|16|22
1,7|15|18|29
1,7|15|18|32
1,7|15|22|23
1,7|15|22|42
1,7|15|23|42
1,7|15|26|41
1,7|15|26|43
1,7|15|27|32
1,7|15|27|40
1,7|15|29|32
1,7|15|32|40
1,7|15|34|40
1,7|15|34|42
1,7|15|38|40
1,7|15|40|42
1,7|15|41|43
1,7|16|24|35
1,7|16|24|43
1,7|16|26|30
1,7|16|26|32
1,7|16|26|41
1,7|16|30|32
1,7|16|35|43
1,7|16|38|39
1,7|17|18|20
1,7|17|18|24
1,7|17|18|28
1,7|17|18|43
1,7|17|19|27
1,7|17|19|36
1,7|17|24|28
1,7|17|27|36
1,7|17|32|37
1,7|17|37|43
1,7|18|19|33
1,7|18|19|35
1,7|18|21|23
1,7|18|21|28
1,7|18|23|28
1,7|18|24|28
1,7|18|29|32
1,7|18|33|35
1,7|19|22|34
1,7|19|27|36
1,7|19|33|35
1,7|19|33|39
