conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
2,18|26,151,143,8,143|275|35,143|275|35,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
3,5|38,113,105,8,105|50|119|179,105|50|119|179,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
8,1|33,50,58,8,29,58|11|29|71|182|29|35|37|1,0.001762114537444934,0.6672540381791484,1.0,1.0,0.001762114537444934
5,21|28,75,84,9,84|23|5|277|57|7,84|23|5|277|57|7,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
8,4|9,50,41,9,41|108|5|17|25|205|21|13|18,41|108|5|17|25|205|21|13|18,0.001762114537444934,0.6672540381791484,1.0,1.0,0.001762114537444934
8,4|8,50,41,9,41|99|13|40|16|23|10|2|209,41|99|13|40|16|23|10|2|209,0.001762114537444934,0.6672540381791484,1.0,1.0,0.001762114537444934
7,3|4,56,65,9,65|85|39|48|9|4|185|18,65|85|39|48|9|4|185|18,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
5,4|15,75,66,9,66|95|10|230|8|44,66|95|10|230|8|44,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
6,10|43,64,55,9,55|58|132|21|81|30|76,55|58|132|21|81|30|76,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
8,8|28,50,41,9,41,41|34|6|41|12|76|20|41|182,0.001762114537444934,0.6672540381791484,1.0,1.0,0.001762114537444934
7,7|11,56,47,9,47|5|58|159|10|17|116|41,47|5|58|159|10|17|116|41,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
7,36|40,56,66,10,66|8|25|21|62|110|151|10,66|8|25|21|62|110|151|10,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
2,26|41,151,141,10,141|31|281,141|31|281,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
7,4|36,56,66,10,66|87|47|82|28|44|62|37,66|87|47|82|28|44|62|37,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
4,8|16,90,100,10,100|31|170|113|39,100|31|170|113|39,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
4,12|23,90,80,10,80|3|55|203|112,80|3|55|203|112,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
8,4|29,50,40,10,40|100|10|19|2|139|60|66|17,40|100|10|19|2|139|60|66|17,0.001762114537444934,0.6672540381791484,1.0,1.0,0.001762114537444934
7,12|19,56,46,10,46|33|12|101|180|59|17|5,46|33|12|101|180|59|17|5,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
4,5|35,90,80,10,80|68|150|71|84,80|68|150|71|84,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
6,2|37,64,54,10,54,54|54|16|97|96|79|57,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
2,2|41,151,141,10,141|239|73,141|239|73,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
3,9|38,113,103,10,103|206|59|85,103|206|59|85,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
1,2|38,226,215,11,215|238,215|238,0.00022026431718061675,0.6667400881057269,1.0,1.0,0.00022026431718061675
9,14|28,45,56,11,56|17|8|26|15|11|160|96|34|30,56|17|8|26|15|11|160|96|34|30,0.001982378854625551,0.6673274596182085,1.0,1.0,0.001982378854625551
3,13|22,113,102,11,102|25|160|166,102|25|160|166,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
7,10|31,56,45,11,45|10|56|108|5|119|34|76,45|10|56|108|5|119|34|76,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
8,6|17,50,61,11,2,61|2|5|183|75|48|2|60|17,0.001762114537444934,0.6672540381791484,1.0,1.0,0.001762114537444934
7,25|36,56,45,11,45|90|17|60|89|21|129|2,45|90|17|60|89|21|129|2,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
4,2|39,90,101,11,101|90|4|26|232,101|90|4|26|232,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
6,20|30,64,53,11,53|145|7|11|58|45|134,53|145|7|11|58|45|134,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
3,22|24,113,124,11,124|209|65|55,124|209|65|55,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
6,13|25,64,53,11,53|32|50|146|41|120|11,53|32|50|146|41|120|11,0.0013215859030837004,0.6671071953010279,1.0,1.0,0.0013215859030837004
3,13|27,113,102,11,102|16|68|267,102|16|68|267,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
5,7|19,75,86,11,86|102|73|8|162|22,86|102|73|8|162|22,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
5,4|25,75,63,12,63|56|21|97|44|172,63|56|21|97|44|172,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
10,20|25,41,53,12,21|31,53|163|21|15|31|51|26|37|31|4|21,0.0022026431718061676,0.6674008810572687,1.0,1.0,0.0022026431718061676
7,13|33,56,68,12,68|149|61|3|44|28|62|38,68|149|61|3|44|28|62|38,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
7,6|13,56,68,12,68|142|46|16|32|79|36|34,68|142|46|16|32|79|36|34,0.0015418502202643172,0.6671806167400881,1.0,1.0,0.0015418502202643172
3,36|39,113,101,12,101|315|33|4,101|315|33|4,0.0006607929515418502,0.6668869309838472,1.0,1.0,0.0006607929515418502
4,27|29,90,78,12,78|105|16|171|83,78|105|16|171|83,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
5,4|24,75,63,12,63|108|7|223|15|37,63|108|7|223|15|37,0.0011013215859030838,0.6670337738619677,1.0,1.0,0.0011013215859030838
