conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
1,11|14|16|19,230,299,69,299|161,299|161,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|14|16|33,230,299,69,299|161,299|161,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|14|19|33,230,299,69,299|161,299|161,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|14|23|30,230,432,202,432|28,432|28,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|14|23|35,230,432,202,432|28,432|28,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|14|23|42,230,296,66,296|164,296|164,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|14|30|35,230,432,202,432|28,432|28,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|14|30|42,230,339,109,339|121,339|121,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
2,11|15|23|26,153,130,23,130|117|213,130|117|213,0.0008695652173913044,0.6669565217391304,1.0,1.0,0.0008695652173913044
1,11|15|23|38,230,359,129,359|101,359|101,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|15|23|39,230,247,17,247|213,247|213,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|15|26|39,230,247,17,247|213,247|213,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|16|18|34,230,350,120,350|110,350|110,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|16|18|36,230,350,120,350|110,350|110,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|16|19|33,230,299,69,299|161,299|161,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|16|34|36,230,350,120,350|110,350|110,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|17|18|43,230,265,35,265|195,265|195,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|17|25|38,230,385,155,385|75,385|75,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|17|27|41,230,321,91,321|139,321|139,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|18|21|37,230,272,42,272|188,272|188,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|18|30|40,230,195,35,195|265,195|265,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|18|30|42,230,195,35,195|265,195|265,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|18|34|36,230,350,120,350|110,350|110,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|18|36|37,230,72,158,72|388,72|388,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|18|36|41,230,417,187,417|43,417|43,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|18|40|42,230,195,35,195|265,195|265,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|19|20|27,230,196,34,196|264,196|264,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|19|20|28,230,196,34,196|264,196|264,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|19|20|37,230,437,207,437|23,437|23,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|19|21|23,230,370,140,370|90,370|90,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|19|24|34,230,154,76,154|306,154|306,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|19|24|39,230,154,76,154|306,154|306,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|19|27|28,230,196,34,196|264,196|264,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|19|28|32,230,13,217,13|447,13|447,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|19|28|36,230,13,217,13|447,13|447,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|19|32|33,230,408,178,408|52,408|52,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|19|32|36,230,13,217,13|447,13|447,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|19|34|39,230,154,76,154|306,154|306,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|20|22|33,230,90,140,90|370,90|370,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|20|27|28,230,196,34,196|264,196|264,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|21|37|38,230,381,151,381|79,381|79,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|22|27|35,230,164,66,164|296,164|296,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|22|27|39,230,21,209,21|439,21|439,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|22|34|38,230,119,111,119|341,119|341,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|23|26|39,230,247,17,247|213,247|213,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|23|30|32,230,163,67,163|297,163|297,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|23|30|35,230,432,202,432|28,432|28,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|24|26|27,230,222,8,222|238,222|238,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|24|32|39,230,122,108,122|338,122|338,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|24|34|39,230,154,76,154|306,154|306,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|25|31|32,230,60,170,60|400,60|400,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|28|31|33,230,451,221,451|9,451|9,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|28|31|41,230,451,221,451|9,451|9,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|28|32|36,230,13,217,13|447,13|447,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|28|33|41,230,451,221,451|9,451|9,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|28|34|39,230,167,63,167|293,167|293,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|30|36|43,230,399,169,399|61,399|61,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|30|40|42,230,195,35,195|265,195|265,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|31|33|41,230,451,221,451|9,451|9,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,11|31|35|36,230,248,18,248|212,248|212,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|13|14|31,230,251,21,251|209,251|209,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|13|14|35,230,251,21,251|209,251|209,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|13|19|27,230,252,22,252|208,252|208,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|13|24|32,230,101,129,101|359,101|359,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|13|31|35,230,251,21,251|209,251|209,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|14|15|40,230,161,69,161|299,161|299,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|14|16|25,230,317,87,317|143,317|143,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|14|16|28,230,317,87,317|143,317|143,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|14|23|41,230,429,199,429|31,429|31,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|14|25|28,230,317,87,317|143,317|143,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|14|31|35,230,251,21,251|209,251|209,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|15|20|42,230,457,227,457|3,457|3,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|15|27|35,230,302,72,302|158,302|158,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|15|29|39,230,132,98,132|328,132|328,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|15|29|41,230,132,98,132|328,132|328,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|15|39|41,230,132,98,132|328,132|328,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|15|41|43,230,424,194,424|36,424|36,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|16|22|31,230,378,148,378|82,378|82,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|16|22|32,230,378,148,378|82,378|82,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|16|24|40,230,409,179,409|51,409|51,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|16|25|28,230,317,87,317|143,317|143,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|16|28|38,230,459,229,459|1,459|1,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|16|31|32,230,378,148,378|82,378|82,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|17|20|32,230,362,132,362|98,362|98,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|17|27|29,230,279,49,279|181,279|181,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|17|27|32,230,279,49,279|181,279|181,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|17|27|41,230,321,91,321|139,321|139,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|17|29|32,230,279,49,279|181,279|181,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|19|20|33,230,292,62,292|168,292|168,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|19|20|39,230,292,62,292|168,292|168,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|19|32|33,230,408,178,408|52,408|52,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|19|33|39,230,292,62,292|168,292|168,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|20|23|32,230,15,215,15|445,15|445,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|20|25|35,230,372,142,372|88,372|88,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|20|33|39,230,292,62,292|168,292|168,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|21|25|27,230,443,213,443|17,443|17,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|21|25|34,230,443,213,443|17,443|17,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|21|27|34,230,443,213,443|17,443|17,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|22|31|32,230,378,148,378|82,378|82,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|23|29|38,230,199,31,199|261,199|261,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|24|34|37,230,10,220,10|450,10|450,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|24|34|40,230,10,220,10|450,10|450,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|24|37|40,230,10,220,10|450,10|450,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|25|27|34,230,443,213,443|17,443|17,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|27|29|32,230,279,49,279|181,279|181,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|27|34|40,230,428,198,428|32,428|32,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|27|35|41,230,12,218,12|448,12|448,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|28|33|43,230,407,177,407|53,407|53,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|29|30|31,230,277,47,277|183,277|183,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|29|33|37,230,139,91,139|321,139|321,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|29|39|41,230,132,98,132|328,132|328,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|32|34|43,230,107,123,107|353,107|353,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,12|34|37|40,230,10,220,10|450,10|450,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,13|14|17|34,230,402,172,402|58,402|58,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,13|14|23|42,230,296,66,296|164,296|164,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,13|14|30|34,230,270,40,270|190,270|190,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,13|14|31|35,230,251,21,251|209,251|209,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,13|15|16|31,230,438,208,438|22,438|22,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,13|15|16|37,230,438,208,438|22,438|22,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,13|15|24|29,230,329,99,329|131,329|131,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,13|15|24|30,230,329,99,329|131,329|131,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,13|15|29|30,230,329,99,329|131,329|131,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,13|15|31|37,230,438,208,438|22,438|22,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,13|16|17|22,230,239,9,239|221,239|221,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,13|16|17|25,230,239,9,239|221,239|221,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,13|16|20|26,230,447,217,447|13,447|13,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,13|16|22|25,230,239,9,239|221,239|221,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,13|16|24|35,230,412,182,412|48,412|48,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
