conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
1,7|37|39,229,352,123,352|107,352|107,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,7|37|41,229,352,123,352|107,352|107,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,7|38|39,229,352,123,352|107,352|107,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,7|38|41,229,352,123,352|107,352|107,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,5|16|29,153,30,123,30|23|406,30|23|406,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,5|11|32,229,106,123,106|353,106|353,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,8|11|16,229,106,123,106|353,106|353,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,8|11|32,229,106,123,106|353,106|353,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,5|29|42,153,30,123,30|354|75,30|354|75,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,21|27|40,229,105,124,105|354,105|354,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,2|36|40,229,105,124,105|354,105|354,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,18|36|43,229,353,124,353|106,353|106,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,10|36|43,229,353,124,353|106,353|106,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,2|21|40,229,105,124,105|354,105|354,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,15|28|42,153,277,124,277|9|173,277|9|173,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|19|43,229,353,124,353|106,353|106,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,10|19|36,229,353,124,353|106,353|106,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,27|36|40,229,105,124,105|354,105|354,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,2|27|36,229,105,124,105|354,105|354,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,18|19|43,229,353,124,353|106,353|106,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,21|36|40,229,105,124,105|354,105|354,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,2|27|40,229,105,124,105|354,105|354,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,30|35|36,153,29,124,29|151|279,29|151|279,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,21|27|36,229,105,124,105|354,105|354,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,8|15|35,153,29,124,29|124|306,29|124|306,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,10|18|19,229,353,124,353|106,353|106,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,19|36|43,229,353,124,353|106,353|106,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,10|18|36,229,353,124,353|106,353|106,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,18|19|36,229,353,124,353|106,353|106,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,14|37|43,229,354,125,354|105,354|105,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,7|8|34,153,28,125,28|225|206,28|225|206,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,1|3|34,229,104,125,104|355,104|355,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,7|8|42,153,28,125,28|8|423,28|8|423,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
2,7|8|18,153,28,125,28|310|121,28|310|121,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
2,18|34|42,153,28,125,28|286|145,28|286|145,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
2,6|13|26,153,278,125,278|147|34,278|147|34,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,27|34|43,229,354,125,354|105,354|105,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,14|27|34,229,354,125,354|105,354|105,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,15|26|31,153,278,125,278|119|62,278|119|62,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,14|34|43,229,354,125,354|105,354|105,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,27|37|43,229,354,125,354|105,354|105,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
2,13|15|26,153,278,125,278|146|35,278|146|35,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
2,8|34|42,153,28,125,28|15|416,28|15|416,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
2,6|13|31,153,278,125,278|111|70,278|111|70,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
2,6|26|31,153,278,125,278|73|108,278|73|108,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
2,13|15|31,153,278,125,278|101|80,278|101|80,0.0004347826086956522,0.6668115942028985,1.0,1.0,0.0004347826086956522
1,14|34|37,229,354,125,354|105,354|105,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,1|3|26,229,104,125,104|355,104|355,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,1|26|33,229,104,125,104|355,104|355,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
1,1|3|33,229,104,125,104|355,104|355,0.0002173913043478261,0.6667391304347826,1.0,1.0,0.0002173913043478261
