conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
62,1,7,1,6,1,1|3|9|9|12|4|1|24|1|10|5|7|2|12|3|3|3|1|13|12|4|5|14|5|5|3|3|30|4|20|1|8|1|1|6|2|1|21|2|18|4|8|20|19|1|15|20|7|1|1|15|13|5|2|2|2|5|2|5|14|4|3|1,0.02701525054466231,0.6756717501815541,1.0,1.0,0.02701525054466231
51,5,8,2,6,1|5,2|1|26|5|4|6|3|5|5|10|3|13|2|4|1|7|3|5|5|18|2|1|6|1|15|2|5|1|3|35|61|9|1|9|13|4|7|4|5|11|2|8|17|20|4|9|1|11|29|3|28|3,0.022222222222222223,0.674074074074074,1.0,1.0,0.022222222222222223
50,27,8,2,6,4|13|3,2|20|14|12|5|9|1|15|5|4|4|13|3|9|3|4|6|7|17|18|7|10|3|13|12|3|15|10|3|5|17|10|6|19|13|22|4|10|1|6|5|1|9|2|4|13|13|1|23|21|6,0.02178649237472767,0.673928830791576,1.0,1.0,0.02178649237472767
51,15,8,1,7,1,1|1|7|8|4|4|3|8|3|26|6|1|4|12|4|14|46|13|1|9|1|8|1|39|1|6|1|21|4|19|1|8|4|4|23|27|15|2|8|10|14|4|6|4|8|9|3|6|1|18|7|0,0.022222222222222223,0.674074074074074,1.0,1.0,0.022222222222222223
56,33,8,1,7,1|2,1|20|5|4|6|20|5|2|2|8|1|6|2|14|7|34|6|23|6|2|8|25|5|8|2|5|6|26|24|3|12|2|5|6|9|3|3|2|1|1|5|1|20|2|5|1|8|13|6|20|9|15|7|3|1|11|1,0.024400871459694988,0.674800290486565,1.0,1.0,0.024400871459694988
61,8,7,0,7,1|2,0|10|1|3|3|10|1|6|1|5|2|4|19|2|13|6|19|14|8|8|1|3|6|7|5|1|3|3|8|8|1|10|7|2|14|1|13|7|2|10|2|3|9|8|7|21|2|7|5|3|2|16|5|2|6|22|21|1|9|21|29|10,0.026579520697167756,0.4521931735657226,0.33,1.0,0.026579520697167756
56,2,8,0,8,1|3,0|1|7|11|28|9|3|34|7|4|2|7|3|5|6|2|13|4|9|17|6|8|3|3|2|2|4|11|9|6|3|1|9|1|23|15|13|18|3|10|3|1|1|12|41|4|1|2|7|1|6|5|3|9|25|14|1,0.024400871459694988,0.4514669571532317,0.33,1.0,0.024400871459694988
54,22,8,0,8,3|6,0|3|9|3|8|1|6|2|7|9|9|9|3|6|1|17|5|1|8|6|11|5|3|1|16|14|7|11|36|20|2|16|4|5|2|6|6|14|23|3|4|10|6|51|9|2|3|7|4|15|8|2|10|4|5,0.023529411764705882,0.4511764705882353,0.33,1.0,0.023529411764705882
44,26,10,19,9,4,19|6|6|46|5|13|4|4|16|5|4|4|14|2|12|17|22|3|4|17|7|1|1|14|14|17|4|24|6|4|3|8|15|9|12|10|15|9|11|16|1|20|2|5|7,0.01917211328976035,0.6730573710965868,1.0,1.0,0.01917211328976035
45,13,9,0,9,3,0|58|6|9|17|17|2|13|1|8|1|8|24|19|8|8|16|7|26|13|16|6|3|6|2|9|6|18|3|16|1|11|20|6|3|1|16|8|8|3|1|3|3|14|3|11,0.0196078431372549,0.44986928104575163,0.33,1.0,0.0196078431372549
59,12,7,16,9,1,16|1|23|1|2|8|16|17|1|3|8|32|8|6|1|4|14|5|4|14|10|3|3|14|2|7|2|2|3|1|15|17|2|29|25|1|1|7|8|5|3|2|3|5|2|17|4|1|1|18|1|24|14|7|4|1|5|2|3,0.02570806100217865,0.6752360203340596,1.0,1.0,0.02570806100217865
49,11,9,0,9,1|5|6|4,0|1|7|44|5|12|5|23|8|9|1|9|22|6|4|2|17|7|5|4|5|9|5|1|2|7|4|20|2|28|10|11|6|3|21|1|6|4|9|4|12|18|12|1|7|6|12|33|2|6,0.021350762527233117,0.4504502541757444,0.33,1.0,0.021350762527233117
53,6,8,21,13,1,21|2|9|1|17|12|3|1|2|5|8|13|18|18|19|18|42|6|3|1|6|6|21|4|3|2|3|1|4|8|13|10|9|11|4|7|12|5|2|15|5|4|5|1|1|7|34|2|1|7|9|14|1|2,0.02309368191721133,0.6743645606390705,1.0,1.0,0.02309368191721133
50,29,8,24,16,2,24|5|2|11|3|7|20|9|2|14|2|23|4|11|8|10|12|7|2|9|2|1|9|7|9|2|3|8|10|3|11|4|8|20|14|19|3|17|27|13|8|5|2|3|5|4|8|31|3|5|9,0.02178649237472767,0.673928830791576,1.0,1.0,0.02178649237472767
55,4,8,38,30,1,38|7|1|9|7|1|5|2|1|53|7|14|9|1|3|1|7|8|2|7|11|4|3|4|9|19|4|5|3|1|1|2|2|4|8|23|1|4|18|6|15|10|19|7|9|1|8|17|5|8|6|1|6|13|1|17,0.023965141612200435,0.6746550472040669,1.0,1.0,0.023965141612200435
49,3,9,41,32,4,41|3|5|2|19|18|9|6|14|17|5|8|8|31|4|4|1|8|20|6|6|3|4|1|1|7|4|2|9|1|3|4|10|6|23|3|2|4|12|4|4|13|6|32|19|18|10|5|1|12,0.021350762527233117,0.6737835875090777,1.0,1.0,0.021350762527233117
