conteo,tupla,X,L,R,M,T,P,Pr,PrX,PrL,PrM
1,2|9|11|42,226,320,94,320|133,320|133,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
2,2|9|12|34,151,137,14,137|301|15,137|301|15,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
1,2|9|12|39,226,195,31,195|258,195|258,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,2|9|12|40,226,438,212,438|15,438|15,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,2|9|15|24,226,401,175,401|52,401|52,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,2|9|17|27,226,173,53,173|280,173|280,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,2|9|17|42,226,173,53,173|280,173|280,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,2|9|24|26,226,14,212,14|439,14|439,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,2|9|24|42,226,14,212,14|439,14|439,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,2|9|25|33,226,167,59,167|286,167|286,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,2|9|26|42,226,14,212,14|439,14|439,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,2|9|27|42,226,173,53,173|280,173|280,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,2|9|34|40,226,438,212,438|15,438|15,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,2|9|34|42,226,307,81,307|146,307|146,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,30|31|34|41,226,7,219,7|446,7|446,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,30|32|38|41,226,129,97,129|324,129|324,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,30|32|40|42,226,93,133,93|360,93|360,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,30|35|36|41,226,174,52,174|279,174|279,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,30|35|37|40,226,381,155,381|72,381|72,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,30|37|38|40,226,145,81,145|308,145|308,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,31|32|33|34,226,406,180,406|47,406|47,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,31|32|42|43,226,48,178,48|405,48|405,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,31|37|41|42,226,50,176,50|403,50|403,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,32|33|34|37,226,324,98,324|129,324|129,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,33|34|41|43,226,318,92,318|135,318|135,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,34|36|37|43,226,128,98,128|325,128|325,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,34|37|39|41,226,366,140,366|87,366|87,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,37|38|39|41,226,346,120,346|107,346|107,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|10|13|21,226,407,181,407|46,407|46,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|10|13|38,226,407,181,407|46,407|46,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|10|15|39,226,311,85,311|142,311|142,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|10|16|25,226,190,36,190|263,190|263,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|10|16|41,226,190,36,190|263,190|263,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|10|20|30,226,198,28,198|255,198|255,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|10|20|39,226,198,28,198|255,198|255,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|10|21|38,226,407,181,407|46,407|46,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|10|25|41,226,190,36,190|263,190|263,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|10|30|39,226,198,28,198|255,198|255,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|10|32|40,226,262,36,262|191,262|191,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|10|32|42,226,262,36,262|191,262|191,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|10|40|42,226,262,36,262|191,262|191,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|11|18|24,226,356,130,356|97,356|97,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|11|18|37,226,356,130,356|97,356|97,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|11|19|25,226,269,43,269|184,269|184,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|11|24|37,226,356,130,356|97,356|97,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|11|25|29,226,92,134,92|361,92|361,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|11|27|39,226,239,13,239|214,239|214,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|11|27|41,226,239,13,239|214,239|214,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
2,3|11|39|41,151,239,88,239|40|174,239|40|174,0.000881057268722467,0.6669603524229074,1.0,1.0,0.000881057268722467
1,3|12|12|40,226,142,84,142|311,142|311,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|12|15|23,226,83,143,83|370,83|370,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|12|19|20,226,46,180,46|407,46|407,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|12|19|24,226,46,180,46|407,46|407,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|12|20|24,226,46,180,46|407,46|407,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|12|24|25,226,218,8,218|235,218|235,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|12|24|26,226,218,8,218|235,218|235,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|12|25|26,226,218,8,218|235,218|235,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|12|34|35,226,36,190,36|417,36|417,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|13|14|17,226,425,199,425|28,425|28,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|13|14|23,226,425,199,425|28,425|28,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|13|17|23,226,425,199,425|28,425|28,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|13|21|38,226,407,181,407|46,407|46,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|14|17|23,226,425,199,425|28,425|28,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|14|19|22,226,261,35,261|192,261|192,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
1,3|15|20|23,226,252,26,252|201,252|201,0.0004405286343612335,0.6668135095447871,1.0,1.0,0.0004405286343612335
