conteo,tupla
1,11|14|20|30|34
1,11|15|23|24|25
1,11|18|23|32|40
1,11|18|29|35|37
1,11|19|27|28|37
1,11|19|29|36|40
1,11|20|21|23|32
1,11|20|21|38|40
1,11|21|22|38|42
1,11|21|27|41|43
1,11|21|31|32|39
1,11|21|33|39|43
1,11|23|33|36|42
1,12|13|15|18|31
1,12|13|23|35|39
1,12|13|25|31|42
1,12|14|18|37|40
1,12|15|16|38|39
1,12|19|20|29|43
1,12|19|20|33|37
1,12|19|22|35|38
1,12|19|24|37|42
1,12|19|27|28|41
1,12|22|30|31|34
1,12|25|32|33|41
1,13|15|18|26|43
1,13|15|24|33|40
1,13|16|28|34|37
1,13|20|25|30|35
1,13|20|26|29|40
1,13|20|28|35|40
1,13|22|27|40|41
1,13|25|30|36|41
1,13|29|30|40|42
1,14|15|20|25|40
1,14|18|20|32|33
1,14|18|20|39|41
1,14|19|21|22|23
1,14|20|24|25|39
1,14|25|28|37|41
1,14|27|34|37|43
1,14|28|33|34|35
1,14|30|35|37|40
1,15|16|18|19|37
1,15|16|24|26|32
1,15|18|24|34|39
1,15|20|25|29|43
1,15|21|25|26|31
1,15|21|26|28|36
1,15|27|28|41|42
1,15|28|31|32|35
1,15|28|36|37|41
1,16|17|21|22|43
1,16|18|19|21|38
1,16|18|26|37|42
1,16|20|29|33|40
1,16|21|24|26|33
1,16|28|37|42|43
1,17|18|20|27|29
1,17|18|33|41|42
1,17|18|36|37|42
1,17|20|26|35|40
1,17|21|32|36|37
1,17|23|25|29|31
1,17|24|26|28|40
1,17|26|27|28|40
1,17|26|28|29|42
1,17|27|37|38|40
1,18|20|21|35|43
1,18|22|32|37|39
1,18|23|28|33|35
1,18|24|28|36|40
1,18|27|38|40|41
1,18|34|37|39|41
1,19|20|24|34|43
1,19|20|28|40|42
1,19|20|34|38|39
1,19|22|29|38|39
1,19|23|26|30|36
1,19|25|28|31|40
1,19|26|33|34|42
1,20|22|25|37|43
1,20|23|35|36|41
1,20|29|32|34|37
1,21|22|23|33|41
1,21|22|29|30|38
1,21|23|26|37|43
1,21|30|35|36|41
1,21|32|33|34|37
1,22|23|27|28|30
1,22|24|28|34|42
1,22|26|29|30|39
1,22|30|31|34|41
1,22|30|32|40|42
1,22|34|36|37|43
1,24|26|35|36|41
1,24|29|34|35|40
1,24|30|37|38|40
1,24|31|32|33|34
1,26|29|39|42|43
1,27|31|32|42|43
