conteo,tupla
1,4|17|33|34|35
1,4|18|22|34|41
1,4|19|30|34|43
1,4|19|32|35|41
1,4|20|27|32|40
1,4|22|28|35|37
1,4|22|29|32|40
1,4|25|31|38|43
1,4|26|32|36|42
1,4|29|30|31|42
1,4|29|36|38|39
1,4|32|35|36|37
1,5|6|8|21|23
1,5|6|15|27|30
1,5|6|16|18|22
1,5|7|8|14|28
1,5|8|14|26|33
1,5|9|10|18|27
1,5|10|12|24|41
1,5|10|13|16|18
1,5|10|16|35|39
1,5|10|20|22|41
1,5|10|24|29|41
1,5|11|22|27|35
1,5|12|14|15|40
1,5|12|15|20|42
1,5|12|32|34|43
1,5|13|17|22|40
1,5|15|21|22|39
1,5|15|27|36|38
1,5|16|18|25|30
1,5|16|18|28|41
1,5|16|25|39|41
1,5|16|31|32|33
1,5|17|21|26|31
1,5|17|23|28|35
1,5|17|27|29|30
1,5|18|19|25|36
1,5|18|19|26|31
1,5|18|29|33|34
1,5|19|20|22|34
1,5|19|30|35|37
1,5|20|21|25|26
1,5|20|26|34|37
1,5|20|34|35|43
1,5|22|24|33|43
1,5|22|28|29|38
1,5|24|29|41|43
1,5|26|31|39|40
1,5|27|34|36|39
1,6|7|15|38|40
1,6|7|16|38|39
1,6|7|23|36|43
1,6|7|26|27|41
1,6|8|12|17|31
1,6|9|10|13|22
1,6|9|16|22|27
1,6|9|19|37|39
1,6|9|29|32|33
1,6|10|14|21|26
1,6|10|18|27|35
1,6|10|25|26|27
1,6|11|13|40|43
1,6|11|20|22|33
1,6|11|28|34|39
1,6|13|14|30|34
1,6|14|15|28|30
1,6|17|30|38|39
1,6|18|22|29|40
1,6|19|30|34|35
1,6|19|31|33|39
1,6|20|22|30|34
1,6|21|23|31|32
1,6|24|27|32|39
1,6|27|28|36|40
1,7|8|10|42|43
1,7|8|13|27|41
1,7|8|17|32|37
1,7|8|27|38|39
1,7|9|10|22|39
1,7|9|11|13|38
1,7|10|17|37|43
1,7|11|14|30|42
1,7|11|17|18|43
1,7|12|20|23|32
1,7|12|27|35|41
1,7|13|27|29|41
1,7|13|28|34|40
1,7|14|19|37|40
1,7|15|18|29|32
1,7|15|22|23|42
1,7|15|26|41|43
1,7|15|27|32|40
1,7|15|34|40|42
1,7|16|24|35|43
1,7|16|26|30|32
1,7|17|18|24|28
1,7|17|19|27|36
1,7|18|19|33|35
1,7|18|21|23|28
1,7|20|26|32|38
1,7|21|32|33|34
1,7|22|25|32|33
1,7|23|33|35|36
