conteo,tupla,X,L,M,T
1,19|20|34|43,180.0,64,64|296,64|296
1,19|20|36|37,180.0,3,3|357,3|357
1,19|20|38|39,180.0,204,204|156,204|156
1,19|20|40|42,180.0,4,4|356,4|356
1,19|22|25|37,180.0,15,15|345,15|345
1,19|22|25|38,180.0,83,83|277,83|277
1,19|22|28|32,180.0,180,180|180,180|180
1,19|22|29|38,180.0,312,312|48,312|48
1,19|22|29|39,180.0,312,312|48,312|48
1,19|22|35|38,180.0,355,355|5,355|5
1,19|22|38|39,180.0,312,312|48,312|48
1,19|23|25|41,180.0,111,111|249,111|249
1,19|23|26|30,180.0,104,104|256,104|256
1,19|23|26|36,180.0,104,104|256,104|256
1,19|23|30|36,180.0,104,104|256,104|256
1,19|24|34|43,180.0,64,64|296,64|296
1,19|25|28|31,180.0,170,170|190,170|190
1,19|25|28|36,180.0,358,358|2,358|2
1,19|25|28|40,180.0,170,170|190,170|190
1,19|25|31|40,180.0,170,170|190,170|190
1,19|25|36|38,180.0,59,59|301,59|301
1,19|26|30|36,180.0,104,104|256,104|256
1,19|26|33|34,180.0,207,207|153,207|153
1,19|26|33|42,180.0,207,207|153,207|153
1,19|26|34|42,180.0,207,207|153,207|153
1,19|27|28|37,180.0,354,354|6,354|6
1,19|27|28|41,180.0,279,279|81,279|81
1,19|28|31|40,180.0,170,170|190,170|190
1,19|28|40|42,180.0,4,4|356,4|356
1,19|29|36|40,180.0,89,89|271,89|271
1,19|29|38|39,180.0,312,312|48,312|48
1,19|31|37|39,180.0,110,110|250,110|250
1,19|33|34|42,180.0,207,207|153,207|153
1,19|34|38|39,180.0,204,204|156,204|156
1,20|21|23|32,180.0,197,197|163,197|163
1,20|21|34|36,180.0,13,13|347,13|347
1,20|21|35|43,180.0,160,160|200,160|200
1,20|21|38|40,180.0,58,58|302,58|302
1,20|22|24|36,180.0,240,240|120,240|120
1,20|22|25|37,180.0,339,339|21,339|21
1,20|22|25|43,180.0,339,339|21,339|21
1,20|22|37|43,180.0,339,339|21,339|21
1,20|23|35|36,180.0,212,212|148,212|148
1,20|23|35|41,180.0,212,212|148,212|148
1,20|23|36|41,180.0,212,212|148,212|148
1,20|24|25|39,180.0,190,190|170,190|170
