conteo,tupla,X,L,M,T
1,3|30|39,180.0,33,33|327,33|327
2,3|30|40,120.0,21,21|164|175,21|164|175
1,3|31|34,180.0,115,115|245,115|245
1,3|31|40,180.0,273,273|87,273|87
1,3|31|41,180.0,225,225|135,225|135
1,3|32|40,180.0,185,185|175,185|175
1,3|32|41,180.0,52,52|308,52|308
1,3|32|43,180.0,52,52|308,52|308
1,3|33|35,180.0,157,157|203,157|203
1,3|33|37,180.0,39,39|321,39|321
1,3|34|36,180.0,143,143|217,143|217
1,3|35|36,180.0,58,58|302,58|302
1,3|35|39,180.0,66,66|294,66|294
1,3|35|42,180.0,66,66|294,66|294
1,3|36|37,180.0,138,138|222,138|222
2,3|36|39,120.0,33,33|10|317,33|10|317
1,3|36|40,180.0,43,43|317,43|317
1,3|37|38,180.0,101,101|259,101|259
1,3|37|39,180.0,128,128|232,128|232
1,3|38|43,180.0,131,131|229,131|229
1,3|39|40,180.0,43,43|317,43|317
1,3|39|42,180.0,66,66|294,66|294
1,3|40|43,180.0,355,355|5,355|5
1,3|41|43,180.0,52,52|308,52|308
1,4|5|23,180.0,292,292|68,292|68
1,4|5|26,180.0,292,292|68,292|68
1,4|6|16,180.0,29,29|331,29|331
1,4|6|18,180.0,195,195|165,195|165
2,4|6|20,120.0,142,142|185|33,142|185|33
1,4|6|27,180.0,142,142|218,142|218
1,4|6|29,180.0,327,327|33,327|33
1,4|6|32,180.0,195,195|165,195|165
1,4|6|34,180.0,29,29|331,29|331
1,4|6|35,180.0,142,142|218,142|218
1,4|6|38,180.0,327,327|33,327|33
1,4|6|42,180.0,195,195|165,195|165
1,4|7|8,180.0,341,341|19,341|19
1,4|7|11,180.0,112,112|248,112|248
1,4|7|13,180.0,104,104|256,104|256
1,4|7|17,180.0,268,268|92,268|92
1,4|7|18,180.0,268,268|92,268|92
1,4|7|20,180.0,268,268|92,268|92
2,4|7|24,120.0,104,104|237|19,104|237|19
1,4|7|39,180.0,112,112|248,112|248
1,4|7|41,180.0,341,341|19,341|19
1,4|7|43,180.0,112,112|248,112|248
1,4|8|10,180.0,94,94|266,94|266
1,4|8|12,180.0,244,244|116,244|116
2,4|8|14,120.0,105,105|76|179,105|76|179
1,4|8|16,180.0,78,78|282,78|282
1,4|8|17,180.0,246,246|114,246|114
1,4|8|18,180.0,216,216|144,216|144
2,4|8|19,120.0,244,244|5|111,244|5|111
1,4|8|20,180.0,216,216|144,216|144
1,4|8|22,180.0,69,69|291,69|291
1,4|8|23,180.0,246,246|114,246|114
4,4|8|24,72.0,18,18|198|33|92|19,18|198|33|92|19
1,4|8|25,180.0,69,69|291,69|291
2,4|8|26,120.0,18,18|76|266,18|76|266
1,4|8|28,180.0,69,69|291,69|291
1,4|8|29,180.0,105,105|255,105|255
1,4|8|30,180.0,244,244|116,244|116
1,4|8|31,180.0,78,78|282,78|282
2,4|8|32,120.0,18,18|76|266,18|76|266
1,4|8|37,180.0,78,78|282,78|282
1,4|8|38,180.0,246,246|114,246|114
3,4|8|41,90.0,105,105|76|160|19,105|76|160|19
1,4|9|10,180.0,100,100|260,100|260
1,4|9|17,180.0,100,100|260,100|260
2,4|9|25,120.0,38,38|62|260,38|62|260
1,4|9|31,180.0,38,38|322,38|322
1,4|9|36,180.0,38,38|322,38|322
1,4|10|14,180.0,23,23|337,23|337
1,4|10|17,180.0,100,100|260,100|260
1,4|10|18,180.0,50,50|310,50|310
2,4|10|25,120.0,23,23|77|260,23|77|260
1,4|10|26,180.0,94,94|266,94|266
1,4|10|30,180.0,50,50|310,50|310
1,4|10|32,180.0,94,94|266,94|266
1,4|10|37,180.0,50,50|310,50|310
1,4|11|12,180.0,5,5|355,5|355
1,4|11|18,180.0,317,317|43,317|43
1,4|11|21,180.0,5,5|355,5|355
1,4|11|22,180.0,19,19|341,19|341
1,4|11|24,180.0,122,122|238,122|238
1,4|11|26,180.0,122,122|238,122|238
1,4|11|27,180.0,122,122|238,122|238
1,4|11|34,180.0,19,19|341,19|341
2,4|11|36,120.0,5,5|312|43,5|312|43
1,4|11|38,180.0,19,19|341,19|341
1,4|11|39,180.0,112,112|248,112|248
1,4|11|41,180.0,317,317|43,317|43
1,4|11|43,180.0,112,112|248,112|248
1,4|12|13,180.0,1,1|359,1|359
1,4|12|19,180.0,244,244|116,244|116
1,4|12|21,180.0,5,5|355,5|355
1,4|12|24,180.0,1,1|359,1|359
1,4|12|28,180.0,307,307|53,307|53
1,4|12|30,180.0,244,244|116,244|116
1,4|12|32,180.0,1,1|359,1|359
1,4|12|33,180.0,307,307|53,307|53
1,4|12|36,180.0,5,5|355,5|355
1,4|12|43,180.0,307,307|53,307|53
1,4|13|18,180.0,75,75|285,75|285
1,4|13|20,180.0,352,352|8,352|8
1,4|13|22,180.0,12,12|348,12|348
2,4|13|24,120.0,1,1|103|256,1|103|256
1,4|13|29,180.0,75,75|285,75|285
1,4|13|31,180.0,352,352|8,352|8
1,4|13|32,180.0,1,1|359,1|359
1,4|13|33,180.0,352,352|8,352|8
1,4|13|36,180.0,12,12|348,12|348
2,4|13|37,120.0,12,12|63|285,12|63|285
1,4|14|25,180.0,23,23|337,23|337
1,4|14|29,180.0,105,105|255,105|255
2,4|14|41,120.0,105,105|76|179,105|76|179
1,4|15|17,180.0,77,77|283,77|283
1,4|15|19,180.0,77,77|283,77|283
1,4|15|25,180.0,77,77|283,77|283
1,4|15|30,180.0,234,234|126,234|126
1,4|15|38,180.0,234,234|126,234|126
1,4|15|42,180.0,234,234|126,234|126
1,4|16|18,180.0,220,220|140,220|140
1,4|16|22,180.0,220,220|140,220|140
1,4|16|27,180.0,220,220|140,220|140
1,4|16|31,180.0,78,78|282,78|282
1,4|16|34,180.0,29,29|331,29|331
1,4|16|37,180.0,78,78|282,78|282
1,4|17|18,180.0,268,268|92,268|92
1,4|17|19,180.0,77,77|283,77|283
1,4|17|20,180.0,268,268|92,268|92
1,4|17|21,180.0,340,340|20,340|20
1,4|17|23,180.0,246,246|114,246|114
2,4|17|25,120.0,77,77|23|260,77|23|260
1,4|17|33,180.0,331,331|29,331|29
1,4|17|34,180.0,331,331|29,331|29
2,4|17|35,120.0,331,331|9|20,331|9|20
1,4|17|38,180.0,246,246|114,246|114
1,4|17|40,180.0,340,340|20,340|20
2,4|18|20,120.0,216,216|52|92,216|52|92
2,4|18|22,120.0,154,154|66|140,154|66|140
1,4|18|24,180.0,216,216|144,216|144
1,4|18|27,180.0,220,220|140,220|140
1,4|18|28,180.0,87,87|273,87|273
1,4|18|29,180.0,75,75|285,75|285
1,4|18|30,180.0,50,50|310,50|310
1,4|18|32,180.0,195,195|165,195|165
1,4|18|33,180.0,87,87|273,87|273
1,4|18|34,180.0,154,154|206,154|206
1,4|18|36,180.0,317,317|43,317|43
2,4|18|37,120.0,50,50|25|285,50|25|285
2,4|18|41,120.0,154,154|163|43,154|163|43
1,4|18|42,180.0,195,195|165,195|165
1,4|19|24,180.0,249,249|111,249|111
1,4|19|25,180.0,77,77|283,77|283
1,4|19|27,180.0,129,129|231,129|231
2,4|19|30,120.0,238,238|6|116,238|6|116
2,4|19|34,120.0,129,129|109|122,129|109|122
1,4|19|43,180.0,238,238|122,238|122
1,4|20|24,180.0,216,216|144,216|144
2,4|20|27,120.0,142,142|109|109,142|109|109
1,4|20|29,180.0,327,327|33,327|33
1,4|20|31,180.0,352,352|8,352|8
1,4|20|32,180.0,251,251|109,251|109
1,4|20|33,180.0,352,352|8,352|8
1,4|20|35,180.0,142,142|218,142|218
1,4|20|38,180.0,327,327|33,327|33
1,4|20|40,180.0,251,251|109,251|109
1,4|21|27,180.0,313,313|47,313|47
1,4|21|35,180.0,340,340|20,340|20
1,4|21|36,180.0,5,5|355,5|355
